Order ID,Order Date,Ship Date,Ship Mode,Order Priority
CA-2014-AB10015140-41954,11/11/2018,11/13/2018,First Class,High
CA-2015-JP15460140-42332,11/24/2019,11/27/2019,First Class,Medium
IT-2012-GM1468091-41215,11/2/2016,11/5/2016,First Class,High
ES-2014-KM1637548-41667,1/28/2018,1/30/2018,First Class,Medium
SG-2014-RH9495111-41948,11/5/2018,11/6/2018,Same Day,Critical
MX-2012-TZ2144551-41157,9/5/2016,9/10/2016,Standard Class,Medium
ID-2014-EB1397559-41919,10/7/2018,10/13/2018,Standard Class,Medium
IN-2013-MB1808592-41378,4/14/2017,4/18/2017,Standard Class,High
ES-2014-RB19570139-41872,8/21/2018,8/26/2018,Second Class,Medium
CA-2012-AB10015140-40974,3/6/2016,3/7/2016,First Class,High
ES-2014-AT1073545-41955,11/12/2018,11/14/2018,First Class,High
ID-2013-AJ107801-41383,4/19/2017,4/22/2017,First Class,High
CA-2015-JL15175140-42363,12/25/2019,1/1/2020,Standard Class,Medium
US-2013-JB15400140-41520,9/3/2017,9/8/2017,Second Class,Medium
IN-2014-PF1912027-41796,6/6/2018,6/8/2018,Second Class,Critical
TU-2013-SS10875134-41506,8/20/2017,8/26/2017,Standard Class,Medium
CA-2012-AB10015140-40958,2/19/2016,2/25/2016,Standard Class,Low
ES-2015-PJ1883564-42255,9/8/2019,9/14/2019,Standard Class,Low
MX-2015-CA1205539-42180,6/25/2019,6/28/2019,First Class,High
ES-2012-PK1891048-41131,8/10/2016,8/15/2016,Second Class,Medium
US-2012-RB1943518-41158,9/6/2016,9/8/2016,First Class,Critical
MX-2012-DK1309051-41223,11/10/2016,11/14/2016,Standard Class,Medium
US-2013-MC18100140-41625,12/17/2017,12/22/2017,Standard Class,Medium
ES-2014-LB16795139-41697,2/27/2018,3/1/2018,Second Class,High
US-2015-NP1832582-42216,7/31/2019,8/1/2019,First Class,Critical
MX-2015-VD2167039-42252,9/5/2019,9/8/2019,First Class,Critical
CA-2014-TC21295140-41800,6/10/2018,6/13/2018,First Class,Critical
CA-2015-WB21850140-42185,6/30/2019,7/1/2019,First Class,High
SF-2014-MG8205117-42000,12/27/2018,12/30/2018,First Class,High
MX-2015-CA1205582-42276,9/29/2019,10/5/2019,Standard Class,Low
US-2012-RR1952536-41270,12/27/2016,12/29/2016,Second Class,Critical
IN-2012-SC2077058-41256,12/13/2016,12/16/2016,Second Class,Medium
CA-2013-AH10030140-41635,12/27/2017,12/31/2017,Standard Class,Medium
IN-2012-DP131057-41215,11/2/2016,11/4/2016,Second Class,Critical
ES-2012-SM2090545-40946,2/7/2016,2/11/2016,Standard Class,High
CG-2012-AH1003033-41165,9/13/2016,9/14/2016,First Class,High
CA-2012-AH10030140-41041,5/12/2016,5/18/2016,Standard Class,Medium
US-2015-JK15370140-42224,8/8/2019,8/14/2019,Standard Class,Medium
ES-2015-PO18865139-42018,1/14/2019,1/18/2019,Standard Class,High
IN-2012-DL128657-40918,1/10/2016,1/11/2016,First Class,Medium
ID-2014-JB1600059-41873,8/22/2018,8/26/2018,Standard Class,High
ES-2014-RB1946545-41857,8/6/2018,8/11/2018,Second Class,Medium
IN-2015-VG2180558-42273,9/26/2019,9/28/2019,Second Class,Medium
SU-2013-ML8040122-41362,3/29/2017,4/4/2017,Standard Class,Medium
US-2013-HF149955-41532,9/15/2017,9/20/2017,Standard Class,High
CA-2014-AH10030140-41719,3/21/2018,3/26/2018,Second Class,Medium
IT-2014-EB1384045-41706,3/8/2018,3/8/2018,Same Day,Critical
CA-2015-LF17185140-42347,12/9/2019,12/10/2019,First Class,Critical
IN-2015-SW2027558-42125,5/1/2019,5/1/2019,Same Day,Critical
MX-2015-JH15820141-42356,12/18/2019,12/20/2019,Second Class,High
US-2012-AH10030140-41206,10/24/2016,10/27/2016,First Class,High
IR-2015-TG1164060-42265,9/18/2019,9/21/2019,First Class,Critical
CA-2012-AH10030140-41273,12/30/2016,12/31/2016,First Class,High
IN-2012-PB19210127-41259,12/16/2016,12/19/2016,First Class,Critical
MZ-2014-DG330087-41991,12/18/2018,12/18/2018,Same Day,High
CA-2012-MZ17515140-41223,11/10/2016,11/12/2016,First Class,Medium
CA-2012-AH10030140-41020,4/21/2016,4/23/2016,Second Class,Critical
IN-2015-MA17995121-42230,8/14/2019,8/18/2019,Standard Class,Medium
IN-2015-MW182207-42221,8/5/2019,8/6/2019,First Class,High
ES-2015-NC18535120-42066,3/3/2019,3/8/2019,Standard Class,Medium
CA-2014-MT18070140-41863,8/12/2018,8/17/2018,Standard Class,Medium
CA-2015-AH10030140-42357,12/19/2019,12/23/2019,Standard Class,Medium
TU-2013-CG2040134-41509,8/23/2017,8/28/2017,Second Class,Medium
ES-2015-CA1196548-42325,11/17/2019,11/21/2019,Standard Class,Medium
IN-2015-DB1340527-42022,1/18/2019,1/23/2019,Standard Class,High
US-2015-PJ18835140-42144,5/20/2019,5/24/2019,Standard Class,High
ES-2015-KL16555139-42136,5/12/2019,5/17/2019,Standard Class,High
CA-2012-RP19390140-41052,5/23/2016,5/29/2016,Standard Class,Low
ES-2015-CR1282048-42041,2/6/2019,2/13/2019,Standard Class,Medium
UP-2012-DW3480137-41221,11/8/2016,11/10/2016,First Class,Critical
IN-2014-AS1022527-41797,6/7/2018,6/9/2018,First Class,High
CA-2015-SJ20125140-42115,4/21/2019,4/27/2019,Standard Class,Medium
CG-2014-BW106533-41727,3/29/2018,3/31/2018,Second Class,High
IN-2015-LA1678059-42242,8/26/2019,8/27/2019,First Class,High
IN-2015-AS1004559-42293,10/16/2019,10/21/2019,Second Class,Medium
ES-2012-AA1064564-41268,12/25/2016,12/31/2016,Standard Class,Low
CA-2015-AS10045140-42218,8/2/2019,8/8/2019,Standard Class,Medium
IN-2014-KD16345144-41768,5/9/2018,5/13/2018,Standard Class,Medium
IN-2012-SZ2003527-41221,11/8/2016,11/10/2016,Second Class,Medium
IN-2013-GP1474058-41419,5/25/2017,5/28/2017,Second Class,Critical
ES-2015-HG1484545-42327,11/19/2019,11/23/2019,Standard Class,High
US-2015-CS1249082-42238,8/22/2019,8/24/2019,Second Class,Critical
CA-2014-AS10045140-41908,9/26/2018,9/28/2018,First Class,Critical
US-2015-AS10045140-42252,9/5/2019,9/6/2019,First Class,High
ES-2014-JB1600048-41668,1/29/2018,2/5/2018,Standard Class,Low
ID-2013-AM1070559-41535,9/18/2017,9/21/2017,Second Class,Critical
MO-2014-AB25586-41966,11/23/2018,11/23/2018,Same Day,Medium
IN-2013-RP192707-41438,6/13/2017,6/13/2017,Same Day,High
IN-2015-RW196907-42048,2/13/2019,2/19/2019,Standard Class,Medium
US-2014-DC1328555-41892,9/10/2018,9/13/2018,First Class,Medium
CA-2013-MS17710140-41510,8/24/2017,8/26/2017,Second Class,High
CA-2015-AS10045140-42281,10/4/2019,10/9/2019,Standard Class,Medium
UP-2014-AR510137-41787,5/28/2018,6/2/2018,Standard Class,Medium
CA-2015-AS10045140-42007,1/3/2019,1/5/2019,First Class,High
